普通列车 南方航空,T5305 南方航空 CZ6495,,大连,09:00,地窝堡国际机场T3,00:15,3,沈阳,停留4h07m,noshare,¥2234.5,硬座+经济舱
普通列车 海南航空,T5305 海南航空 HU7822,,大连,09:00,地窝堡国际机场T2,00:10,3,沈阳,停留4h02m,noshare,¥2274.5,硬座+经济舱
海南航空 福州航空,HU7265 FU6588,,新郑国际机场T2,16:10,昌北国际机场T2,21:45,3,福州,停留2h00m,noshare,¥628,"经济舱3.5折
经济舱3.6折"
厦门航空 福州航空,MF8254 FU6588,,新郑国际机场T2,21:35,昌北国际机场T2,21:45,3,福州,停留20h30m,noshare,¥475,"经济舱3.0折
经济舱1.8折"
福州航空 福州航空,FU6530 FU6588,,新郑国际机场T2,22:55,昌北国际机场T2,21:45,3,福州,停留19h10m,noshare,¥509,"经济舱3.3折
经济舱1.8折"
南方航空 福州航空,CZ6917 FU6588,,新郑国际机场T2,14:15,昌北国际机场T2,21:45,3,福州,停留4h00m,noshare,¥623,"经济舱3.4折
经济舱3.6折"
东方航空 吉祥航空,MU2760 HO1631,,新郑国际机场T2,16:20,昌北国际机场T2,21:20,3,南京,停留2h15m,noshare,¥888,"经济舱8.1折
经济舱5.0折"
高铁 南方航空,G1264 南方航空 CZ6740,,郑州东,08:07,昌北国际机场T2,19:05,3,石家庄,停留6h24m,noshare,¥480,二等座+经济舱
高铁 桂林航空,G1914 桂林航空 GT1047,,郑州东,08:43,昌北国际机场T2,14:35,3,徐州,停留2h36m,noshare,¥535.5,二等座+经济舱
西部航空,PN6445,空中客车 A320(中型),新郑国际机场T2,20:20,三义机场,23:10,1,unknown,unknown,noshare,¥980,经济舱4.9折
祥鹏航空,8L9820,31G(中型),新郑国际机场T2,13:10,三义机场,15:50,1,unknown,unknown,noshare,¥1030,经济舱5.1折
首都航空,JD5746,空中客车 A319(中型),新郑国际机场T2,11:10,三义机场,13:50,1,unknown,unknown,noshare,¥1085,经济舱5.4折
华夏航空,G51139R,机型未定(小型),新郑国际机场T2,19:20,三义机场,11:40,2,贵阳,unknown,noshare,¥1440,经济舱6.0折
华夏航空,G51155G,机型未定(小型),新郑国际机场T2,19:20,三义机场,12:35,2,unknown,unknown,noshare,¥1660,经济舱6.9折
南方航空,CZ3475,波音 737-300(中型),新郑国际机场T2,07:05,三义机场,11:50,2,重庆,unknown,noshare,¥2010,经济舱全价
南方航空 祥鹏航空,CZ8536 8L9805,,新郑国际机场T2,17:20,三义机场,00:30,3,昆明,停留3h25m,noshare,¥1064,"经济舱4.0折
经济舱2.4折"
成都航空 祥鹏航空,EU2242 8L9831,,新郑国际机场T2,22:30,三义机场,11:15,3,贵阳,停留9h00m,noshare,¥1102,"经济舱4.9折
经济舱4.1折"
