吉祥航空,HO1638,空中客车 A321(中型),禄口国际机场T2,21:30,太平国际机场T2,00:20,1,unknown,unknown,noshare,¥817,经济舱4.7折

厦门航空,MF8067,波音 737-800(中型),禄口国际机场T2,21:15,太平国际机场T2,00:05,1,unknown,unknown,noshare,¥850,经济舱4.9折

河北航空,NS8067,波音 737-800(中型),禄口国际机场T2,21:15,太平国际机场T2,00:05,1,unknown,unknown,共享,¥858,经济舱4.9折

九元航空,AQ1039,全新737 舒适飞行,禄口国际机场T2,15:15,太平国际机场T2,18:10,1,unknown,unknown,noshare,¥909,经济舱5.2折

南方航空,CZ5039,波音 737-800(中型),禄口国际机场T2,21:15,太平国际机场T2,00:05,1,unknown,unknown,共享,¥940,经济舱5.4折

首都航空,JD5271,空中客车 A319(中型),禄口国际机场T2,16:10,太平国际机场T2,18:55,1,unknown,unknown,noshare,¥1035,经济舱5.9折

东方航空,MU2951,空中客车 A320(中型),禄口国际机场T2,15:20,太平国际机场T2,18:00,1,unknown,unknown,noshare,¥1050,经济舱6.0折

海南航空,HU7753,波音 737-800(中型),禄口国际机场T2,12:40,太平国际机场T2,15:20,1,unknown,unknown,noshare,¥1170,经济舱6.7折

深圳航空,ZH9383,波音 737-800(中型),禄口国际机场T2,13:25,太平国际机场T2,16:15,1,unknown,unknown,noshare,¥1290,经济舱7.4折

昆明航空,KY9383,波音 737-800(中型),禄口国际机场T2,13:25,太平国际机场T2,16:15,1,unknown,unknown,共享,¥1290,经济舱7.4折

中国国航,CA3359,波音 737-800(中型),禄口国际机场T2,13:25,太平国际机场T2,16:15,1,unknown,unknown,共享,¥1290,经济舱7.4折

金鹏航空,Y87753,波音 737-800(中型),禄口国际机场T2,12:40,太平国际机场T2,15:20,1,unknown,unknown,共享,¥1320,经济舱7.6折

四川航空,3U8839,空中客车 A320(中型),禄口国际机场T2,10:40,太平国际机场T2,13:15,1,unknown,unknown,noshare,¥1449,经济舱8.3折

南方航空,CZ9941,空中客车 A320(中型),禄口国际机场T2,10:40,太平国际机场T2,13:15,1,unknown,unknown,共享,¥1460,经济舱8.4折

华夏航空,G56500,空中客车 A320(中型),禄口国际机场T2,10:40,太平国际机场T2,13:15,1,unknown,unknown,共享,¥1471,经济舱8.5折

东方航空,MU4032,空中客车 A321(中型),禄口国际机场T2,21:30,太平国际机场T2,00:20,1,unknown,unknown,共享,¥1550,经济舱8.9折

