河北航空,NS3256,波音 737-800(中型),咸阳国际机场T3,20:35,正定国际机场T2,22:10,1,unknown,unknown,noshare,¥330,经济舱3.8折

首都航空,JD5303,空中客车 A319(中型),咸阳国际机场T2,07:45,正定国际机场T2,09:15,1,unknown,unknown,noshare,¥340,经济舱3.9折

厦门航空,MF7078,波音 737-800(中型),咸阳国际机场T3,20:35,正定国际机场T2,22:10,1,unknown,unknown,共享,¥345,经济舱3.9折

长安航空,9H8339,波音 737-800(中型),咸阳国际机场T2,15:25,正定国际机场T2,16:55,1,unknown,unknown,noshare,¥360,经济舱3.8折

北部湾航空 幸福航空,GX8811 JR1602,,咸阳国际机场T2,11:15,正定国际机场T2,20:55,3,榆林,停留7h10m,noshare,¥570,"经济舱2.3折
经济舱4.9折"

天津航空 幸福航空,GS7629 JR1602,,咸阳国际机场T2,21:45,正定国际机场T2,14:15,3,榆林,停留13h55m,noshare,¥629,"经济舱2.8折
经济舱4.8折"

东方航空 东方航空,MU2239 MU2844,,咸阳国际机场T3,09:50,正定国际机场T2,15:10,3,银川,停留2h30m,noshare,¥850,"经济舱
经济舱"

东方航空 东方航空,MU2239 MU2844,,咸阳国际机场T3,09:50,正定国际机场T2,15:10,3,银川,停留2h30m,noshare,¥1280,"头等舱
公务舱"

西部航空,PN6255,空中客车 A320(中型),江北国际机场T2,21:30,昌北国际机场T2,23:05,1,unknown,unknown,noshare,¥610,经济舱4.4折

山东航空,SC9776,空中客车 A320(中型),江北国际机场T3,21:05,昌北国际机场T2,22:50,1,unknown,unknown,共享,¥801,经济舱7.0折

深圳航空,ZH9776,空中客车 A320(中型),江北国际机场T3,21:05,昌北国际机场T2,22:50,1,unknown,unknown,noshare,¥850,经济舱7.4折

昆明航空,KY9776,空中客车 A320(中型),江北国际机场T3,21:05,昌北国际机场T2,22:50,1,unknown,unknown,共享,¥850,经济舱7.4折

西藏航空,TV6688,空中客车 A320(中型),江北国际机场T3,21:05,昌北国际机场T2,22:50,1,unknown,unknown,共享,¥850,经济舱6.7折

